Bogennummer;REDE_Namen;Longitude;Latitude;REDE_GIDs;Sprache;Herkunft;WS22::Transliteration WS22;WS22: Adjektivform;WS22: Stammvokal;WS31::Transliteration WS31;WS31: Adjektivform;WS31: Stammvokal
23843;(Stolzenberg);7,21868086;51,10219986;535471;1;Marburg;M'r mott hatt schreien, söß versteht hä uß net. ;hatt;a;Ech verstonn öch net, ihr mößt'n beschen häder kallen. ;häder;ä
23858;Oberklüppelberg;7,482521669;51,11069717;544279;1;Marburg;Mat maut hart schreien, süss versteht hei uns nich.;hart;a;Ek verstoh enk nich, et mäutet en betchen hädder küren.;hädder;ä
23873;Valbert;7,75338;51,12;101712;1;Marburg;Me maut hart schreien, süs versteht hei uns nit.;hart;a;Ieck verstuoh ink nit, iet meiten en Bietchen hädder spriäken.;hädder;ä
23885;Sporke;8,00787;51,15597;102266;1;Marburg;Me matt harre schriggen, süs versteiht hai uns nit. (laut = hart!);harre;a;Jëck verstoh auck nit, i͡e mot en biëtken hädder ku͡i͡ern.;hädder;ä
23902;Schmallenberg;8,28584;51,15411;103666;1;Marburg;Me matt harre kreïsken süß verstehit heu ues nit.;harre;a;Ik verstoh auk nit äi mot en wänneg hädder kuiern.;hädder;ä
23906;Elmpt;6,16371;51,21195;134714;1;Marburg;Öm moet hähl schreien, angersch verstäht hej oss net.;hähl;äh;Ech verstohn öch net, öhr mot e wennig heller kallen.;heller;e
23922;Helenabrunn;6,42005;51,22806;134866;1;Marburg;Öm mot hell schreien, angersch versteht de dot net.;hell ;e;Ich verstönn üch net, er mot e wenig hellter kallen.;hellter;e
23933;Weißenberg;6,680221539;51,21619719;544290;1;Marburg;"Mer mot hatt schrëie; angesch versteht é os net.";hatt;a;"Ech verstônn ech net; eo möt e béske hahder kalle.";hahder;ah
2398;Mertensdorf (Tjomkino);20,99338566;54,40519107;547780;1;Marburg;Man mot lut schrie, sonst versteiht er ons nicht.;lut;u;Ik verstoah ju nich, ju motte lula spreke.;lula ;u
2409;Trausen (Lipnyaki);21,28673749;54,40141987;547789;1;Marburg;Aina muott lut schie|e, si|enst vastaita uons nich.;lut;u;I͡eck vasto͡a ju nich, ji mu͡otte ain bätke luta rede.;luta;u
24107;Hubbelrath;6,9077;51,25791;135601;1;Marburg;Mer mott schreie, söss versteihte us nitt.;;;Ech verstonn öch nitt, ehr mott e betsche hatter spreke (kalle.);hatter;a
24134;Barmen;7,19655;51,27156;136207;1;Marburg;Man mott hatt schreien, sös versteht hä us nitt.;hatt;a;Eck verstoh enk nitt, gät mötten en betschen hätter spreken.;hätter;ä
24156;Delle;7,439350364;51,27752811;544345;1;Marburg;Me' matt hart küren, süst versteht hä em nett.;hart;a;Eck versto͜ah ink nett, i͜ätt mäut en betken hi͜ärter küren.;hi͜ärter;i͜ä
24167;Altena;7,67985;51,28832;103687;1;Marburg;Me maut harre schreien, süß verschtēǐht hei us nit.;harre;a;I͡ek verstohe ink nit, i͡ät mut en bi͡etken hädder küren.;hädder;ä
24180;Stockum;7,984;51,29586;102939;1;Marburg;Me matt harre schriggen (gewöhnl. raupen) suß versteiht heu uas nit;harre;a;Jek verstoh egg nit, J meitet en bietken hädder kuiren.;hädder;ä
24208;Wall;6,38696445;51,38212687;545780;1;Marburg;Me mot hatt schreie, sonß versteht hä onß net.;hatt;a;Ek verstohn üch net, je mot e bedsche harter spreche.;harter;a
24218;Vennikel;6,6309;51,39584;104010;1;Marburg;Me mott hat luen anners versteiht he us nit.;hat;a;Ek verstonn ou nit, chei mot en betschen hatter kallen.;hatter;a
2426;Groß Pentlack (Kamenka);21,56653326;54,36655007;547807;1;Marburg;Man mot lut schriee, sonst versteit he nuscht;lut;u;Ök verstah nicht, ju musst en Betken luder spreken;luder;u
2436;Kowarren (Zaozernoye);21,82957764;54,3617094;547817;1;Marburg;Man mot lut schriee, sonst versteiht he ons nich.;lut;u;Eck verstah juh nich, juh motte e beske luter rede.;luter;u
